drugbank_id,drug_name,disease_name,score,source
DB00005,ETANERCEPT,ankylosing spondylitis,,KG
DB00005,ETANERCEPT,juvenile arthritis due to defect in LACC1,,KG
DB00005,ETANERCEPT,juvenile idiopathic arthritis,,KG
DB00005,ETANERCEPT,spondyloarthropathy,,KG
DB00005,ETANERCEPT,"spondyloarthropathy, susceptibility to",,KG
DB00008,Peginterferon alfa-2a,chronic hepatitis C virus infection,0.9998904466629028,KG+DL
DB00008,Peginterferon alfa-2a,hepatitis B virus infection,0.9993854761123656,DL
DB00008,Peginterferon alfa-2a,hepatitis C virus infection,0.9990548491477966,KG+DL
DB00008,Peginterferon alfa-2a,hepatitis E virus infection,0.9982686042785645,DL
DB00008,Peginterferon alfa-2a,hepatitis A virus infection,0.9982197880744934,DL
DB00008,Peginterferon alfa-2a,"hepatitis, viral, animal",0.9981556534767152,DL
DB00008,Peginterferon alfa-2a,Omsk hemorrhagic fever,0.9981544613838196,DL
DB00008,Peginterferon alfa-2a,chronic hepatitis B virus infection,0.9981124401092528,KG+DL
DB00008,Peginterferon alfa-2a,Kyasanur forest disease,0.998087465763092,DL
DB00008,Peginterferon alfa-2a,heart conduction disease,0.9949803948402404,DL
DB00008,Peginterferon alfa-2a,heart neoplasm,0.9937291145324708,DL
DB00008,Peginterferon alfa-2a,heart valve disease,0.993599534034729,DL
DB00008,Peginterferon alfa-2a,congenital anomaly of ventricular septum,0.992259442806244,DL
DB00008,Peginterferon alfa-2a,pericardium disease,0.9913445711135864,DL
DB00008,Peginterferon alfa-2a,carcinoid heart disease,0.9903083443641664,DL
DB00008,Peginterferon alfa-2a,cardiac anomalies-heterotaxy syndrome,0.9903083443641664,DL
DB00008,Peginterferon alfa-2a,cor biloculare,0.9903083443641664,DL
DB00008,Peginterferon alfa-2a,heart aneurysm,0.9903083443641664,DL
DB00008,Peginterferon alfa-2a,myocardial rupture,0.9903083443641664,DL
DB00008,Peginterferon alfa-2a,white forelock with malformations,0.9867571592330932,DL
DB00008,Peginterferon alfa-2a,microcephaly-cardiac defect-lung malsegmentation syndrome,0.9866837859153748,DL
DB00008,Peginterferon alfa-2a,patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome,0.986151158809662,DL
DB00008,Peginterferon alfa-2a,cardiac ventricle disease,0.9831096529960632,DL
DB00008,Peginterferon alfa-2a,aortopulmonary window,0.9823143482208252,DL
DB00008,Peginterferon alfa-2a,cardiovascular disease,0.967756450176239,DL
DB00008,Peginterferon alfa-2a,tarp syndrome,0.9585382342338562,DL
DB00008,Peginterferon alfa-2a,cardiac disease with cataract,0.9579751491546632,DL
DB00008,Peginterferon alfa-2a,myocardial disorder,0.9569873213768004,DL
DB00008,Peginterferon alfa-2a,hereditary thrombocytopenia with normal platelets,0.951269805431366,DL
DB00008,Peginterferon alfa-2a,marcothrombocytopenia with mitral valve insufficiency,0.950688362121582,DL
DB00008,Peginterferon alfa-2a,transient neonatal thrombocytopenia,0.9458557367324828,DL
DB00008,Peginterferon alfa-2a,dense granule disease,0.942891001701355,DL
DB00008,Peginterferon alfa-2a,early-onset familial noncirrhotic portal hypertension,0.9313969612121582,DL
DB00008,Peginterferon alfa-2a,hepatoportal sclerosis,0.9313969612121582,DL
DB00008,Peginterferon alfa-2a,hepatopulmonary syndrome,0.9313969612121582,DL
DB00008,Peginterferon alfa-2a,idiopathic copper-associated cirrhosis,0.9313969612121582,DL
DB00008,Peginterferon alfa-2a,primitive portal vein thrombosis,0.9313969612121582,DL
DB00008,Peginterferon alfa-2a,thrombocytopenia,0.9212026000022888,DL
DB00008,Peginterferon alfa-2a,disorder of tyrosine metabolism,0.9185168743133544,DL
DB00008,Peginterferon alfa-2a,Ledderhose disease,0.914000391960144,DL
DB00008,Peginterferon alfa-2a,teratogenic Pierre Robin syndrome,0.9138818979263306,DL
DB00008,Peginterferon alfa-2a,HIV infectious disease,0.912599503993988,DL
DB00008,Peginterferon alfa-2a,hepatic porphyria,0.9084985852241516,DL
DB00008,Peginterferon alfa-2a,tetrahydrobiopterin-responsive hyperphenylalaninemia/phenylketonuria,0.8966035842895508,DL
DB00008,Peginterferon alfa-2a,relapsing-remitting multiple sclerosis,0.8953071236610413,DL
DB00008,Peginterferon alfa-2a,infantile digital fibromatosis,0.8952621221542358,DL
DB00008,Peginterferon alfa-2a,disorder of phenylalanine metabolism,0.8940439820289612,DL
DB00008,Peginterferon alfa-2a,commissural lip fistula,0.8938978910446167,DL
DB00008,Peginterferon alfa-2a,feline acquired immunodeficiency syndrome,0.8934023976325989,DL
DB00008,Peginterferon alfa-2a,simian immunodeficiency virus infection,0.8934023976325989,DL
DB00014,GOSERELIN,endometriosis (disease),,KG
DB00014,GOSERELIN,endometriosis of uterus,,KG
DB00019,Pegfilgrastim,severe nonproliferative diabetic retinopathy,0.9989094734191896,DL
DB00019,Pegfilgrastim,diabetic retinopathy,0.9972589015960692,DL
DB00019,Pegfilgrastim,primary release disorder of platelets,0.983693301677704,DL
DB00019,Pegfilgrastim,diabetic cataract,0.982511579990387,DL
DB00019,Pegfilgrastim,pseudo-von Willebrand disease,0.98031347990036,DL
DB00019,Pegfilgrastim,Glanzmann thrombasthenia,0.9769019484519958,DL
DB00019,Pegfilgrastim,drug-induced osteoporosis,0.9675061106681824,DL
DB00019,Pegfilgrastim,senile cataract,0.963657557964325,DL
DB00019,Pegfilgrastim,cortical cataract,0.9631012678146362,DL
DB00019,Pegfilgrastim,nuclear senile cataract,0.9631012678146362,DL
DB00019,Pegfilgrastim,craniostenosis cataract,0.9556080102920532,DL
DB00019,Pegfilgrastim,diabetes mellitus type 2 associated cataract,0.9556080102920532,DL
DB00019,Pegfilgrastim,immature cataract,0.9556080102920532,DL
DB00019,Pegfilgrastim,mature cataract,0.9556080102920532,DL
DB00019,Pegfilgrastim,tetanic cataract,0.9556080102920532,DL
DB00019,Pegfilgrastim,dermatitis,0.9356521368026732,DL
DB00019,Pegfilgrastim,hemorrhagic disease of newborn,0.9225521683692932,DL
DB00019,Pegfilgrastim,acrodermatitis chronica atrophicans,0.9193318486213684,DL
DB00019,Pegfilgrastim,neonatal dermatomyositis,0.9192256927490234,DL
DB00019,Pegfilgrastim,pityriasis simplex,0.9138864874839784,DL
DB00019,Pegfilgrastim,thrombocytopenia due to immune destruction,0.9096440076828004,DL
DB00019,Pegfilgrastim,"hydroa vacciniforme, familial",0.9080129861831664,DL
DB00019,Pegfilgrastim,acne keloid,0.903353750705719,DL
DB00019,Pegfilgrastim,amyopathic dermatomyositis,0.9028732776641846,DL
DB00019,Pegfilgrastim,hemorrhagic disorder due to a constitutional thrombocytopenia,0.902719259262085,DL
DB00019,Pegfilgrastim,secondary interstitial lung disease specific to childhood associated with a connective tissue disease,0.9009937644004822,DL
DB00019,Pegfilgrastim,bleeding diathesis due to a collagen receptor defect,0.8986849188804626,DL
DB00019,Pegfilgrastim,Scott syndrome,0.888410210609436,DL
DB00019,Pegfilgrastim,filariasis,0.8863202333450317,DL
DB00019,Pegfilgrastim,fetal and neonatal alloimmune thrombocytopenia,0.865510106086731,DL
DB00019,Pegfilgrastim,esotropia,0.8650174736976624,DL
DB00019,Pegfilgrastim,HER2 positive breast carcinoma,0.8573560118675232,DL
DB00019,Pegfilgrastim,non-syndromic esophageal malformation,0.8566724061965942,DL
DB00019,Pegfilgrastim,neonatal thrombocytopenia,0.8520509600639343,DL
DB00019,Pegfilgrastim,autoimmune thrombocytopenic,0.8393770456314087,DL
DB00019,Pegfilgrastim,breast tumor luminal A or B,0.8346396088600159,DL
DB00019,Pegfilgrastim,normal breast-like subtype of breast carcinoma,0.8333352208137512,DL
DB00019,Pegfilgrastim,progesterone-receptor positive breast cancer,0.8333352208137512,DL
DB00019,Pegfilgrastim,platelet-type bleeding disorder,0.8246129751205444,DL
DB00019,Pegfilgrastim,progesterone-receptor negative breast cancer,0.8206945657730103,DL
DB00019,Pegfilgrastim,biotin metabolic disease,0.7984561920166016,DL
DB00019,Pegfilgrastim,"Ehlers-Danlos syndrome, fibronectinemic type",0.7935837507247925,DL
DB00019,Pegfilgrastim,pulmonary edema,0.7856593132019043,DL
DB00019,Pegfilgrastim,diabetic macular edema,0.7837044596672058,DL
DB00019,Pegfilgrastim,autosomal thrombocytopenia with normal platelets,0.7833645343780518,DL
DB00019,Pegfilgrastim,"microvascular complications of diabetes, susceptibility to",0.7810109853744507,DL
DB00019,Pegfilgrastim,"neutropenia, chronic familial",0.7619199156761169,DL
DB00019,Pegfilgrastim,atypical coarctation of aorta,0.7580729722976685,DL
DB00019,Pegfilgrastim,aortic malformation,0.7495316863059998,DL
